name,description,latitude,longitude,url
Neumayer Station (Germany),Alfred Wegener Institute. Permanent,-70.65,-8.25,https://en.wikipedia.org/wiki/Neumayer-Station_III
Novolazarevskaya Station (Russia),Permanent,-70.76778,11.83167,https://en.wikipedia.org/wiki/Novolazarevskaya_Station
Orcadas Base (Argentina),Meteorology  Permanent,-60.73333,-44.73333,https://en.wikipedia.org/wiki/Orcadas_Base
Palmer Station (United States),"Science labs, a dock and a helicopter pad.  Permanent",-64.77,-64.05,https://en.wikipedia.org/wiki/Palmer_Station
Port Lockroy (United Kingdom),British Antarctic Survey  Historic Site,-64.82458,-63.49799,https://en.wikipedia.org/wiki/Port_Lockroy
Princess Elisabeth Base (Belgium),Energy-passive research station. Permanent,-71.57,23.2,https://en.wikipedia.org/wiki/Princess_Elisabeth_Antarctica
Professor Julio Escudero Base (Chile),Chilean Antarctic Institute Permanent,-62.205,-58.975,https://en.wikipedia.org/wiki/Profesor_Julio_Escudero_Base
Progress Station (Russia),Russian Antarctic Expedition Summer,-69.37889,76.38694,https://en.wikipedia.org/wiki/Progress_Station
Rothera Research Station (United Kingdom),British Antarctic Survey Permanent,-67.56667,-68.13333,https://en.wikipedia.org/wiki/Rothera_Research_Station
Russkaya Station (Russia),Russian Antarctic Expedition,-74.76667,-136.86667,https://en.wikipedia.org/wiki/Russkaya_Station
SANAE IV (South Africa),Upper atmosphere research (e.g. cosmic rays) and Earth sciences (e.g. geology). Permanent,-71.66667,-2.85,https://en.wikipedia.org/wiki/SANAE_IV
San Martín Station (Argentina),Laboratory and Meteorological measurements  Permanent,-68.13333,-67.1,https://en.wikipedia.org/wiki/San_Mart%C3%ADn_Base
Scott Base (New Zeland),"Antarctic physical environments, Southern Ocean and Antarctic ecosystems.  Permanent",-77.85,166.75,https://en.wikipedia.org/wiki/Scott_Base
Showa Station (Japan),National Institute of Polar Research Permanent,-69.00611,39.59,https://en.wikipedia.org/wiki/Showa_Station_(Antarctica)
St. Kliment Ohridski Base (Bulgaria),"Biological research, laboratorial and meteorological measurements. Permanent",-62.64139,-60.36472,https://en.wikipedia.org/wiki/St._Kliment_Ohridski_Base
Station W - Detaille Island (United Kingdom),"Survey, geology and meteorology. Abandoned 1959",-66.86945,-66.79014,https://en.wikipedia.org/wiki/Detaille_Island
Svea (Sweden),Swedish Polar Research Secretariat. Summer,-74.58333,-11.21667,https://en.wikipedia.org/wiki/Svea_Research_Station
Tor Station (Norway),Norwegian Polar Institute. Summer,-71.88889,5.15833,https://en.wikipedia.org/wiki/Tor_(research_station)
Troll Station (Norway),Norwegian Polar Institute. Permanent,-72.01208,2.53222,https://en.wikipedia.org/wiki/Troll_(research_station)
Vernadsky Research Base (Ukraine),Ukrainian Antarctic Station. Permanent,-65.23333,-64.25,https://en.wikipedia.org/wiki/Vernadsky_Research_Base
Vostok Station (Russia),Russian Antarctic Expedition Permanent,-78.46667,106.8,https://en.wikipedia.org/wiki/Vostok_Station
Wasa Station (Sweden),Swedish Polar Research Secretariat.  Summer,-73.05,-13.41667,https://en.wikipedia.org/wiki/Wasa_Research_Station
Zhongshan (Sun Yat-Sen) Station (China),Polar Research Institute of China (PRIC)  Permanent,-69.37889,76.37778,https://en.wikipedia.org/wiki/Zhongshan_Station_(Antarctica)
